Product,Number of results in Yarrowia Database,groups,Number of results,%,product,species,titer,titer log(10),titer ln,titer log2
,,,,189,Protopanaxadiol,yarrowia,0.06072,-1.216668237,-2.801482146,-4.04168439902135
,,,,190,Protopanaxadiol,yarrowia,0.30063,-0.521967683,-1.201875006,-1.73393911127631
,,,,162,Protopanaxadiol,yarrowia,0.05717,-1.242831808,-2.861725994,-4.12859789950306
,,,,132,Protopanaxadiol,yarrowia,0.06117,-1.21346152,-2.794098406,-4.03103191369906
,,,,188,Protopanaxadiol,yarrowia,0.06527,-1.185286387,-2.729222766,-3.93743615047278
,,,,196,Protopanaxadiol,yarrowia,0.05862,-1.231954186,-2.836679344,-4.09246322174727
,,,,11.3,Protopanaxadiol,yarrowia,0.08785,-1.056258234,-2.432124464,-3.50881390354107
,,,,15,Protopanaxadiol,yarrowia,0.08227,-1.084758503,-2.497748758,-3.6034897462665
,,,,12,Protopanaxadiol,yarrowia,0.08045,-1.094473952,-2.520119406,-3.635763768826
,,,,15.5,Protopanaxadiol,yarrowia,0.05653,-1.247721015,-2.872983808,-4.1448394927814
,,,,12.9,Protopanaxadiol,yarrowia,0.06801,-1.167427225,-2.688100526,-3.87810929797487
,,,,14.1,Protopanaxadiol,yarrowia,0.06612,-1.179667155,-2.716284006,-3.9187694651445
,,,,27.4,Protopanaxadiol,yarrowia,0.07404,-1.13053359,-2.603149791,-3.75555129456624
,,,,16.6,Protopanaxadiol,yarrowia,0.07274,-1.138226703,-2.620863839,-3.7811072639812
,,,,15.8,Protopanaxadiol,yarrowia,0.08323,-1.079720105,-2.486147419,-3.58675255263355
,,,,5.3,Protopanaxadiol,yarrowia,0.01818,-1.740406121,-4.00743319,-5.78150399024271
,,,,16.6,Protopanaxadiol,yarrowia,0.0601,-1.221125528,-2.811745437,-4.05649119883826
,,,,3.34,Protopanaxadiol,yarrowia,0.08088,-1.092158857,-2.514788704,-3.6280731925338
,,,,178,Protopanaxadiol,yarrowia,0.08873,-1.051929518,-2.422157228,-3.49443422128356
,,,,132,Protopanaxadiol,yarrowia,0.08,-1.096910013,-2.525728644,-3.64385618977473
,,,,12.9,Protopanaxadiol,yarrowia,0.08123,-1.090283547,-2.510470642,-3.62184354539427
,,,,31.7,Protopanaxadiol,yarrowia,0.08045,-1.094473952,-2.520119406,-3.635763768826
,,,,38.3,Protopanaxadiol,yarrowia,0.12036,-0.919517821,-2.117268027,-3.05457208310348
,,,,48.9,Protopanaxadiol,yarrowia,0.12494,-0.903298498,-2.079921657,-3.0006926598713
,,,,112,Protopanaxadiol,yarrowia,0.12894,-0.889612334,-2.048408099,-2.95522820628787
,,,,0.1337,Protopanaxadiol,yarrowia,0.11855,-0.926098442,-2.132420466,-3.07643243206744
,,,,0.1337,Protopanaxadiol,yarrowia,0.13521,-0.868991187,-2.000926154,-2.8867262390003
,,,,0.1535,Protopanaxadiol,yarrowia,0.09823,-1.007755856,-2.320443611,-3.34769249067829
,,,,0.1904,Protopanaxadiol,yarrowia,0.16717,-0.776841658,-1.78874402,-2.58061212745985
,,,,2.03,Protopanaxadiol,yarrowia,0.08123,-1.090283547,-2.510470642,-3.62184354539427
,,,,82.1,Protopanaxadiol,yarrowia,0.08045,-1.094473952,-2.520119406,-3.635763768826
,,,,5.68,Protopanaxadiol,yarrowia,0.12036,-0.919517821,-2.117268027,-3.05457208310348
,,,,8.58,Protopanaxadiol,yarrowia,0.12494,-0.903298498,-2.079921657,-3.0006926598713
,,,,10.33,Protopanaxadiol,yarrowia,0.12894,-0.889612334,-2.048408099,-2.95522820628787
,,,,8.05,Protopanaxadiol,yarrowia,0.11855,-0.926098442,-2.132420466,-3.07643243206744
,,,,12.46,Protopanaxadiol,yarrowia,0.13521,-0.868991187,-2.000926154,-2.8867262390003
,,,,7.26,Protopanaxadiol,yarrowia,0.1073,-0.969400278,-2.232126629,-3.22027801879293
,,,,12.62,Pentane,yarrowia,NULL,#VALUE!,#VALUE!,#NUM!
,,,,16.67,Pentane,yarrowia,0.00095,-3.022276395,-6.959048573,-10.0397848661059
,,,,40.03,Pentane,yarrowia,0.00156,-2.806875402,-6.463069458,-9.32423825557457
,,,,11.4,Pentane,yarrowia,0.00328,-2.484126156,-5.719911857,-8.25208846981873
,,,,13.8,Pentane,yarrowia,0.0021,-2.677780705,-6.165817934,-8.89539495677069
,,,,14.29,Pentane,yarrowia,0.0035,-2.455931956,-5.65499231,-8.15842936260448
,,,,13.45,Pentane,yarrowia,0.00419,-2.377785977,-5.475054545,-7.89883404073746
,,,,14.03,Pentane,yarrowia,0.00489,-2.310691141,-5.320562975,-7.67594981948458
,,,,89.35,Pentane,yarrowia,NULL,#VALUE!,#VALUE!,#NUM!
,,,,98.13,Pentane,yarrowia,0.0005,-3.301029996,-7.60090246,-10.9657842846621
,,,,62.2,Hexadecanol,yarrowia,0.0459,-1.338187314,-3.081290162,-4.44536203613564
,,,,50.57,Hexadecanol,yarrowia,0.0561,-1.251037139,-2.880619466,-4.15585541894066
,,,,89.35,Hexadecanol,yarrowia,0.04,-1.397940009,-3.218875825,-4.64385618977473
,,,,90.82,Hexadecanol,yarrowia,0.0534,-1.272458743,-2.929944533,-4.2270164478619
,,,,95,Hexadecanol,yarrowia,0.0447,-1.349692477,-3.107781777,-4.48358135836613
,,,,53.54,Fumarate,yarrowia,7.1,0.851258349,1.960094784,2.82781902461732
,,,,98.13,Fumarate,yarrowia,2,0.301029996,0.693147181,1
,,,,63.99,Fumarate,yarrowia,0.3,-0.522878745,-1.203972804,-1.73696559416621
,,,,75.99,Fumarate,yarrowia,2.3,0.361727836,0.832909123,1.20163386116965
,,,,26.96,Fumarate,yarrowia,0.1,-1,-2.302585093,-3.32192809488736
,,,,17.6,Fumarate,yarrowia,0.1,-1,-2.302585093,-3.32192809488736
,,,,1.37,Fumarate,yarrowia,0.4,-0.397940009,-0.916290732,-1.32192809488736
,,,,0.23,Fumarate,yarrowia,0.7,-0.15490196,-0.356674944,-0.514573172829758
,,,,1.61,Fumarate,yarrowia,0.4998,-0.301203748,-0.693547261,-1.00057719346275
,,,,1.92,Fumarate,yarrowia,0.0447,-1.349692477,-3.107781777,-4.48358135836613
,,,,1.78,Fumarate,yarrowia,0.3339,-0.476383581,-1.096913732,-1.58251200148633
,,,,0.0007,Fumarate,yarrowia,0.7245,-0.13996161,-0.322273517,-0.464942405105158
,,,,1,Fumarate,yarrowia,0.1148,-0.940058112,-2.164563795,-3.12280545287376
,,,,0.0007,Fumarate,yarrowia,0.2786,-0.555018888,-1.277978218,-1.8437328369482
,,,,1,Fumarate,yarrowia,0.137,-0.863279433,-1.987774353,-2.86775220170156
,,,,0.0007,Fumarate,yarrowia,0.5464,-0.262489309,-0.604403971,-0.871970611259359
,,,,1,Fumarate,yarrowia,0.4398,-0.356744775,-0.821435201,-1.18508049069448
,,,,7.16,Fumarate,yarrowia,0.34,-0.468521083,-1.078809661,-1.55639334852439
,,,,25.5,Fumarate,yarrowia,0.31,-0.508638306,-1.171182982,-1.68965987938785
,,,,7.63,Citrate,yarrowia,55,1.740362689,4.007333185,5.78135971352466
,,,,14.6,Citrate,yarrowia,50.1,1.699837726,3.914021008,5.64673869830785
,,,,12.7,Citrate,yarrowia,53.5,1.728353782,3.979681654,5.74146698640115
,,,,4.3,Citrate,yarrowia,21,1.322219295,3.044522438,4.39231742277876
,,,,19.9,Citrate,yarrowia,21.1,1.324282455,3.04927304,4.39917109381982
,,,,18.8,Citrate,yarrowia,23.4,1.369215857,3.152736022,4.54843662469604
,,,,26.4,Citrate,yarrowia,17.8,1.250420002,2.879198457,4.15380533607904
,,,,25.1,Citrate,yarrowia,21.8,1.338456494,3.08190997,4.44625622988957
,,,,25.1,Citrate,yarrowia,22.9,1.359835482,3.131136911,4.51727569320958
,,,,22.8,Citrate,yarrowia,5.9,0.770852012,1.774952351,2.56071495447448
,,,,24.06,Citrate,yarrowia,0.5,-0.301029996,-0.693147181,-1
,,,,36.98,Citrate,yarrowia,10.9,1.037426498,2.388762789,3.44625622988956
,,,,0.209,Citrate,yarrowia,9.7,0.986771734,2.272125886,3.27798474729977
,,,,0.7396,Citrate,yarrowia,9.1,0.959041392,2.208274414,3.18586654531133
,,,,103,Citrate,yarrowia,9.8,0.991226076,2.282382386,3.29278174922785
,,,,40,Citrate,yarrowia,10.1,1.004321374,2.312535424,3.33628338786443
,,,,3.03,Citrate,yarrowia,14.9,1.173186268,2.701361213,3.8972404255748
,,,,1.69,Citrate,yarrowia,1.2,0.079181246,0.182321557,0.263034405833794
,,,,3.28,Citrate,yarrowia,0.5,-0.301029996,-0.693147181,-1
,,,,2.19,Citrate,yarrowia,11.9,1.075546961,2.4765384,3.57288966842058
,,,,0.33,Citrate,yarrowia,13.7,1.136720567,2.617395833,3.77610398807316
,,,,9.15,Citrate,yarrowia,33.6,1.526339277,3.514526067,5.0703893278914
,,,,5.27,Citrate,yarrowia,35.1,1.545307116,3.55820113,5.1333991254172
,,,,6.15,Citrate,yarrowia,31,1.491361694,3.433987204,4.95419631038688
,,,,2.21,Citrate,yarrowia,18.2,1.260071388,2.901421594,4.18586654531133
,,,,0.51,Citrate,yarrowia,31.4,1.496929648,3.446807893,4.97269265400427
,,,,4.89,Citrate,yarrowia,6.8,0.832508913,1.916922612,2.76553474636298
,,,,2.47,Citrate,yarrowia,15.2,1.181843588,2.721295428,3.92599941855622
,,,,0.549,Citrate,yarrowia,6,0.77815125,1.791759469,2.58496250072116
,,,,122.85,Citrate,yarrowia,19.1,1.281033367,2.949688335,4.25550073314839
,,,,0.0604,Citrate,yarrowia,11.8,1.071882007,2.468099531,3.56071495447448
,,,,0.0107,Citrate,yarrowia,31,1.491361694,3.433987204,4.95419631038688
,,,,0.0604,Citrate,yarrowia,1.9,0.278753601,0.641853886,0.925999418556223
,,,,0.266,Citrate,yarrowia,27,1.431363764,3.295836866,4.75488750216347
,,,,0.42,Citrate,yarrowia,4.1,0.612783857,1.410986974,2.03562390973072
,,,,0.702,Citrate,yarrowia,45.5,1.658011397,3.817712326,5.5077946401987
,,,,0.943,Citrate,yarrowia,11.4,1.056904851,2.433613355,3.51096191927738
,,,,1.24,Citrate,yarrowia,36.8,1.565847819,3.605497845,5.20163386116965
,,,,1.45,Citrate,yarrowia,9.1,0.959041392,2.208274414,3.18586654531133
,,,,1.84,Citrate,yarrowia,57.7,1.761175813,4.055257174,5.85049941375812
,,,,2.47,Citrate,yarrowia,1,0,0,0
,,,,5,Citrate,yarrowia,4.1,0.612783857,1.410986974,2.03562390973072
,,,,0.18,Citrate,yarrowia,5.8,0.763427994,1.757857918,2.53605290024021
,,,,0.18,Citrate,yarrowia,25.8,1.411619706,3.250374492,4.68929916053589
,,,,1.1,Citrate,yarrowia,70,1.84509804,4.248495242,6.12928301694497
,,,,1.1,Citrate,yarrowia,17.5,1.243038049,2.862200881,4.12928301694497
,,,,0.2,Citrate,yarrowia,0.54,-0.26760624,-0.616186139,-0.888968687611256
,,,,0.2,Citrate,yarrowia,2.21,0.344392274,0.792992516,1.14404636961671
,,,,0.27,Citrate,yarrowia,4.89,0.689308859,1.587192303,2.28983446517751
,,,,0.27,Citrate,yarrowia,8.76,0.942504106,2.170195905,3.13093086982645
,,,,60.3,Citrate,yarrowia,1.04,0.017033339,0.039220713,0.0565835283663675
,,,,53.44,Citrate,yarrowia,0.51,-0.292429824,-0.673344553,-0.971430847803229
,,,,54.53,Citrate,yarrowia,3.89,0.589949601,1.358409158,1.95977015521147
,,,,4.2,Citrate,yarrowia,4.47,0.650307523,1.497388409,2.16027483140859
,,,,20,Citrate,yarrowia,3.32,0.521138084,1.199964783,1.7311832415722
,,,,15.6,Citrate,yarrowia,0.33,-0.48148606,-1.108662625,-1.59946207041627
,,,,13.4,Citrate,yarrowia,1.16,0.064457989,0.148420005,0.214124805352847
,,,,17.3,Citrate,yarrowia,2.47,0.392696953,0.904218151,1.30451104180995
,,,,15.4,Citrate,yarrowia,3.65,0.562292864,1.294727168,1.86789646399266
,,,,14.41,Citrate,yarrowia,0.26,-0.585026652,-1.347073648,-1.94341647163363
,,,,26.83,Citrate,yarrowia,NULL,#VALUE!,#VALUE!,#NUM!
,,,,12.86,Citrate,yarrowia,2.69,0.42975228,0.989541194,1.4276061727819
,,,,26.83,Citrate,yarrowia,3.92,0.593286067,1.366091654,1.97085365434048
,,,,9.29,Citrate,yarrowia,2.3,0.361727836,0.832909123,1.20163386116965
,,,,23.33,Citrate,yarrowia,1.83,0.26245109,0.604315967,0.871843648509318
,,,,27.51,Citrate,yarrowia,6.32,0.800717078,1.843719208,2.65992455840238
,,,,27.08,Citrate,yarrowia,5.67,0.753583059,1.735189118,2.5033487351675
,,,,0.12,Citrate,yarrowia,42.39,1.627263417,3.746912485,5.40565206128037
,,,,3.1,Citrate,yarrowia,64.15,1.807196661,4.161224091,6.00337736020232
,,,,3,Citrate,yarrowia,14,1.146128036,2.63905733,3.8073549220576
,,,,12.1,Citrate,yarrowia,NULL,#VALUE!,#VALUE!,#NUM!
,,,,29.5,Citrate,yarrowia,NULL,#VALUE!,#VALUE!,#NUM!
,,,,29.5,Citrate,yarrowia,7.53,0.876794976,2.018895042,2.9126498648972
,,,,42.1,Citrate,yarrowia,6.27,0.797267541,1.835776355,2.64846544302731
,,,,42.1,Citrate,yarrowia,NULL,#VALUE!,#VALUE!,#NUM!
,,,,56.4,Citrate,yarrowia,NULL,#VALUE!,#VALUE!,#NUM!
,,,,56.4,Citrate,yarrowia,3.46,0.539076099,1.241268589,1.790772037862
,,,,10.1,Citrate,yarrowia,3.96,0.597695186,1.376244025,1.98550043030489
,,,,13,Citrate,yarrowia,44.2,1.645422269,3.788724789,5.46597446450407
,,,,15.1,Citrate,yarrowia,15.5,1.190331698,2.740840024,3.95419631038688
,,,,10.5,Citrate,yarrowia,102.8,2.011993115,4.632785353,6.68369645430652
,,,,6.6,Citrate,yarrowia,67.5,1.829303773,4.212127598,6.07681559705083
,,,,50,Citrate,yarrowia,21.5,1.33243846,3.068052935,4.4262647547021
,,,,5,Citrate,yarrowia,1,0,0,0
,,,,0.21,Citrate,yarrowia,79.4,1.899820502,4.374498368,6.3110671022556
,,,,0,Citrate,yarrowia,NULL,#VALUE!,#VALUE!,#NUM!
,,,,0.25,Citrate,yarrowia,NULL,#VALUE!,#VALUE!,#NUM!
,,,,102,Citrate,yarrowia,5.5,0.740362689,1.704748092,2.4594316186373
,,,,82,Citrate,yarrowia,NULL,#VALUE!,#VALUE!,#NUM!
,,,,144,Citrate,yarrowia,5.8,0.763427994,1.757857918,2.53605290024021
,,,,146,Citrate,yarrowia,5,0.698970004,1.609437912,2.32192809488736
,,,,62.2,Citrate,yarrowia,10.1,1.004321374,2.312535424,3.33628338786443
,,,,60.1,Citrate,yarrowia,2.1,0.322219295,0.741937345,1.0703893278914
,,,,105,Citrate,yarrowia,6.8,0.832508913,1.916922612,2.76553474636298
,,,,105.2,Citrate,yarrowia,NULL,#VALUE!,#VALUE!,#NUM!
,,,,62.4,Citrate,yarrowia,NULL,#VALUE!,#VALUE!,#NUM!
,,,,62.6,Citrate,yarrowia,0.5,-0.301029996,-0.693147181,-1
,,,,112,Citrate,yarrowia,27.9,1.445604203,3.328626689,4.80219321694183
,,,,112.2,Citrate,yarrowia,22.4,1.350248018,3.109060959,4.48542682717024
,,,,0.2,Citrate,yarrowia,15.18,1.181271772,2.719978772,3.92409988564074
,,,,0.1,Citrate,yarrowia,11.76,1.070407322,2.464703942,3.55581615506164
,,,,0.4,Citrate,yarrowia,32.83,1.516270883,3.491342732,5.03694284479826
,,,,16.9,Citrate,yarrowia,9.9,0.995635195,2.292534757,3.30742852519225
,,,,109.5,Citrate,yarrowia,6.6,0.819543936,1.887069649,2.72246602447109
,,,,41.5,Citrate,yarrowia,1.3,0.113943352,0.262364264,0.37851162325373
,,,,88.96,Citrate,yarrowia,1.1,0.041392685,0.09531018,0.137503523749935
,,,,86.3,Citrate,yarrowia,2.1,0.322219295,0.741937345,1.0703893278914
,,,,5.123,Citrate,yarrowia,3.2,0.505149978,1.16315081,1.67807190511264
,,,,3,Citrate,yarrowia,NULL,#VALUE!,#VALUE!,#NUM!
,,,,5.1,Citrate,yarrowia,0.1,-1,-2.302585093,-3.32192809488736
,,,,0.1289,Citrate,yarrowia,36,1.556302501,3.583518938,5.16992500144231
,,,,255,Citrate,yarrowia,NULL,#VALUE!,#VALUE!,#NUM!
,,,,45.2,Citrate,yarrowia,34.9,1.542825427,3.552486829,5.12515513132229
,,,,49.1,Citrate,yarrowia,19.5,1.290034611,2.970414466,4.28540221886225
,,,,62.5,Citrate,yarrowia,10,1,2.302585093,3.32192809488736
,,,,1.20E-05,Citrate,yarrowia,16.5,1.217483944,2.803360381,4.04439411935845
,,,,3.60E-05,Citrate,yarrowia,21.3,1.328379603,3.058707073,4.41278152533848
,,,,2.80E-06,Citrate,yarrowia,121.55,2.084754963,4.800325701,6.92540608314137
,,,,8.40E-06,Citrate,yarrowia,124.64,2.09565744,4.825429582,6.96162332828695
,,,,0.0003,Citrate,yarrowia,128.05,2.107379583,4.852420813,7.00056344271011
,,,,0.0009,Citrate,yarrowia,128.7,2.109578547,4.857484115,7.00786824333334
,,,,17.08,Citrate,yarrowia,110.23,2.042299807,4.702569092,6.78437310843037
,,,,29,Citrate,yarrowia,108.62,2.035909798,4.687855553,6.76314595814948
,,,,3.22,Citrate,yarrowia,105.93,2.025018972,4.662778499,6.72696741670603
,,,,3.22,Citrate,yarrowia,97.44,1.988737275,4.579236804,6.60644222813161
,,,,3.22,Citrate,yarrowia,109.68,2.040127442,4.697567035,6.7771566660045
,,,,4.32,Citrate,yarrowia,90.71,1.957655167,4.507667605,6.50318969917099
,,,,13.3,Citrate,yarrowia,35.33,1.548143637,3.564732461,5.14282184411593
,,,,130,Citrate,yarrowia,22.78,1.35755372,3.125882958,4.50969584193339
,,,,0.0789,Citrate,yarrowia,0.36,-0.443697499,-1.021651248,-1.47393118833241
,,,,0.0225,Citrate,yarrowia,1.8,0.255272505,0.587786665,0.84799690655495
,,,,0.248,Citrate,yarrowia,1.33,0.123851641,0.285178942,0.411426245726465
,,,,0.393,Citrate,yarrowia,4.23,0.626340367,1.442201993,2.08065766334523
,,,,0.515,Citrate,yarrowia,29.4,1.46834733,3.380994674,4.877744249949
,,,,6.9,Citrate,yarrowia,67.9,1.831869774,4.218036035,6.08533966935737
,,,,9.4,Citrate,yarrowia,81.1,1.909020854,4.395682961,6.34163000932991
,,,,5.8,Citrate,yarrowia,25.96,1.414304688,3.256556892,4.69821847822441
,,,,5.1,Citrate,yarrowia,29.39,1.468199586,3.38065448,4.87725345387661
,,,,8,Citrate,yarrowia,67.9,1.831869774,4.218036035,6.08533966935737
,,,,2.1,Citrate,yarrowia,81.09,1.9089673,4.395559649,6.34145210748113
,,,,6.1,Citrate,yarrowia,26.45,1.422425676,3.275256158,4.72519581722666
,,,,9.7,Citrate,yarrowia,65.5,1.8162413,4.182050143,6.03342300153745
,,,,8.2,Citrate,yarrowia,70.19,1.846275242,4.251205851,6.13319359866411
,,,,2.3,Citrate,yarrowia,36.59,1.563362409,3.599774979,5.19337751056436
,,,,9.6,Citrate,yarrowia,42.84,1.631849462,3.757472246,5.42088657497553
,,,,14.4,Citrate,yarrowia,41.87,1.621902961,3.73456958,5.38784501296558
,,,,23.41,Citrate,yarrowia,35.78,1.553640336,3.577389078,5.16108148227718
,,,,10.24,Citrate,yarrowia,5.5,0.740362689,1.704748092,2.4594316186373
,,,,0.19,Citrate,yarrowia,NULL,#VALUE!,#VALUE!,#NUM!
,,,,0.28,Citrate,yarrowia,5.8,0.763427994,1.757857918,2.53605290024021
,,,,0.5,Citrate,yarrowia,5,0.698970004,1.609437912,2.32192809488736
,,,,0.36,Citrate,yarrowia,10.1,1.004321374,2.312535424,3.33628338786443
,,,,26.5,Citrate,yarrowia,2.1,0.322219295,0.741937345,1.0703893278914
,,,,40,Citrate,yarrowia,6.8,0.832508913,1.916922612,2.76553474636298
,,,,32.9,Citrate,yarrowia,NULL,#VALUE!,#VALUE!,#NUM!
,,,,30.7,Citrate,yarrowia,NULL,#VALUE!,#VALUE!,#NUM!
,,,,40,Citrate,yarrowia,NULL,#VALUE!,#VALUE!,#NUM!
,,,,33.5,Citrate,yarrowia,0.5,-0.301029996,-0.693147181,-1
,,,,31.8,Citrate,yarrowia,34.02,1.531734309,3.526948587,5.08831123588866
,,,,4.63,Citrate,yarrowia,101,2.004321374,4.615120517,6.6582114827518
,,,,37.2,Citrate,yarrowia,54.2,1.733999287,3.992680908,5.76022094646651
,,,,44.25,Citrate,yarrowia,27.3,1.436162647,3.306886702,4.77082904603249
,,,,31.22,Citrate,yarrowia,3.2,0.505149978,1.16315081,1.67807190511264
,,,,42.25,Citrate,yarrowia,3.6,0.556302501,1.280933845,1.84799690655495
,,,,1.2,Citrate,yarrowia,20.6,1.31386722,3.025291076,4.36457243229586
,,,,14.5,Citrate,yarrowia,NULL,#VALUE!,#VALUE!,#NUM!
,,,,21,Citrate,yarrowia,NULL,#VALUE!,#VALUE!,#NUM!
,,,,33.8,Citrate,yarrowia,NULL,#VALUE!,#VALUE!,#NUM!
,,,,0.4089,Citrate,yarrowia,10.8,1.033423755,2.379546134,3.43295940727611
,,,,4.94,Citrate,yarrowia,NULL,#VALUE!,#VALUE!,#NUM!
,,,,0.0119,Citrate,yarrowia,11.1,1.045322979,2.406945108,3.47248777146274
,,,,4.9403,Citrate,yarrowia,1.2,0.079181246,0.182321557,0.263034405833794
,,,,1.48,Citrate,yarrowia,0.4,-0.397940009,-0.916290732,-1.32192809488736
,,,,10.44,Citrate,yarrowia,0.4,-0.397940009,-0.916290732,-1.32192809488736
,,,,5,Citrate,yarrowia,0.51,-0.292429824,-0.673344553,-0.971430847803229
,,,,24.4,Citrate,yarrowia,0.55,-0.259637311,-0.597837001,-0.862496476250065
,,,,47.7,Citrate,yarrowia,2.35,0.371067862,0.854415328,1.23266075679028
,,,,52.2,Citrate,yarrowia,0.65,-0.187086643,-0.430782916,-0.62148837674627
,,,,52.4,Citrate,yarrowia,5.71,0.756636108,1.742219024,2.51349074558812
,,,,53.3,Citrate,yarrowia,1.25,0.096910013,0.223143551,0.321928094887362
,,,,59,Citrate,yarrowia,7.92,0.898725182,2.069391206,2.98550043030489
,,,,35,Citrate,yarrowia,1.14,0.056904851,0.131028262,0.189033824390017
,,,,12.5,Citrate,yarrowia,11.1,1.045322979,2.406945108,3.47248777146274
,,,,13.8,Citrate,yarrowia,1.05,0.021189299,0.048790164,0.070389327891398
,,,,46.3,Citrate,yarrowia,115,2.06069784,4.744932128,6.84549005094438
,,,,45.9,Citrate,yarrowia,112,2.049218023,4.718498871,6.8073549220576
,,,,45,Citrate,yarrowia,18,1.255272505,2.890371758,4.16992500144231
,,,,49.4,Citrate,yarrowia,16,1.204119983,2.772588722,4
,,,,31.47,Citrate,yarrowia,16.76,1.224274014,2.818995095,4.06695024392463
,,,,29.83,citrate,yarrowia,57.15,1.757016235,4.04567939,5.83668159332712
,,,,1,citrate,yarrowia,45,1.653212514,3.80666249,5.49185309632968
,,,,2.4,citrate,yarrowia,44.76,1.650890078,3.801314883,5.48413813120167
,,,,0.19,citrate,yarrowia,5.36,0.72916479,1.678963975,2.42223300068305
,,,,480,citrate,yarrowia,0.55,-0.259637311,-0.597837001,-0.862496476250065
,,,,39,citrate,yarrowia,31.71,1.501196242,3.456632089,4.98686597232911
,,,,2.8,citrate,yarrowia,46.2,1.664641976,3.832979798,5.5298209465287
,,,,49,citrate,yarrowia,22.65,1.355068206,3.120159852,4.50143914515887
,,,,34,citrate,yarrowia,33.3,1.522444234,3.505557397,5.0574502721839
,,,,72,citrate,yarrowia,46.25,1.665111737,3.834061464,5.53138146051631
,,,,50,citrate,yarrowia,49.6,1.695481676,3.903990834,5.63226821549951
,,,,79,citrate,yarrowia,45.02,1.653405491,3.807106835,5.49249415167943
,,,,83,citrate,yarrowia,57.15,1.757016235,4.04567939,5.83668159332712
,,,,0.1,citrate,yarrowia,6.4,0.806179974,1.85629799,2.67807190511264
,,,,2.23,citrate,yarrowia,11,1.041392685,2.397895273,3.4594316186373
,,,,2.05,citrate,yarrowia,19.3,1.285557309,2.960105096,4.27052894238072
,,,,11,Citrate,yarrowia,5.4,0.73239376,1.686398954,2.43295940727611
,,,,18,Citrate,yarrowia,7.7,0.886490725,2.041220329,2.94485844580754
,,,,1,Citrate,yarrowia,8.3,0.919078092,2.116255515,3.05311133645956
,,,,1,Citrate,yarrowia,6.6,0.819543936,1.887069649,2.72246602447109
,,,,1,Citrate,yarrowia,3.1,0.491361694,1.131402111,1.63226821549951
,,,,1,Citrate,yarrowia,2.4,0.380211242,0.875468737,1.26303440583379
,,,,1.85,Citrate,yarrowia,2.7,0.431363764,0.993251773,1.43295940727611
,,,,1.76,Citrate,yarrowia,4.9,0.69019608,1.589235205,2.29278174922785
,,,,1.65,Citrate,yarrowia,6.9,0.838849091,1.931521412,2.78659636189081
,,,,1.49,Citrate,yarrowia,8.6,0.934498451,2.151762203,3.10433665981474
,,,,1.33,Citrate,yarrowia,8.3,0.919078092,2.116255515,3.05311133645956
,,,,1.31,Citrate,yarrowia,7.3,0.86332286,1.987874348,2.86789646399266
,,,,0.45,Citrate,yarrowia,5.5,0.740362689,1.704748092,2.4594316186373
,,,,15.3,Citrate,yarrowia,8.6,0.934498451,2.151762203,3.10433665981474
,,,,19.5,Citrate,yarrowia,9.7,0.986771734,2.272125886,3.27798474729977
,,,,22.7,Citrate,yarrowia,10.8,1.033423755,2.379546134,3.43295940727611
,,,,15.3,Citrate,yarrowia,11.9,1.075546961,2.4765384,3.57288966842058
,,,,21.4,Citrate,yarrowia,12.8,1.10720997,2.549445171,3.67807190511264
,,,,23.9,Citrate,yarrowia,12.3,1.089905111,2.509599262,3.62058641045188
,,,,0.2137,Citrate,yarrowia,12.8,1.10720997,2.549445171,3.67807190511264
,,,,0.2137,Citrate,yarrowia,12.1,1.08278537,2.493205453,3.59693514238723
,,,,1.1079,Citrate,yarrowia,11,1.041392685,2.397895273,3.4594316186373
,,,,0.2137,Citrate,yarrowia,9.2,0.963787827,2.219203484,3.20163386116965
,,,,14.45,Citrate,yarrowia,7.1,0.851258349,1.960094784,2.82781902461732
,,,,29.18,Citrate,yarrowia,4.7,0.672097858,1.547562509,2.23266075679028
,,,,42.1,Citrate,yarrowia,12.8,1.10720997,2.549445171,3.67807190511264
,,,,56.84,Citrate,yarrowia,12.3,1.089905111,2.509599262,3.62058641045188
,,,,10.53,Citrate,yarrowia,10.6,1.025305865,2.360854001,3.40599235967584
,,,,33.32,Citrate,yarrowia,9.9,0.995635195,2.292534757,3.30742852519225
,,,,27.65,Citrate,yarrowia,8.3,0.919078092,2.116255515,3.05311133645956
,,,,49.88,Citrate,yarrowia,6.4,0.806179974,1.85629799,2.67807190511264
,,,,24,Citrate,yarrowia,13.7,1.136720567,2.617395833,3.77610398807316
,,,,25.13,Citrate,yarrowia,13.1,1.117271296,2.57261223,3.71149490665009
,,,,45.4,Citrate,yarrowia,12.8,1.10720997,2.549445171,3.67807190511264
,,,,13.61,Citrate,yarrowia,13.2,1.120573931,2.58021683,3.72246602447109
,,,,45.4,Citrate,yarrowia,12,1.079181246,2.48490665,3.58496250072116
,,,,13.61,Citrate,yarrowia,10.1,1.004321374,2.312535424,3.33628338786443
,,,,0.35,Citrate,yarrowia,11.1,1.045322979,2.406945108,3.47248777146274
,,,,0.37,Citrate,yarrowia,13.2,1.120573931,2.58021683,3.72246602447109
,,,,0.18,Citrate,yarrowia,14.6,1.164352856,2.681021529,3.86789646399266
,,,,23.94,Citrate,yarrowia,12.3,1.089905111,2.509599262,3.62058641045188
